Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,0.870000,0.870000,0.780000,0.780000,0.780000,956100
2022-06-01,0.790000,0.810000,0.760000,0.760000,0.760000,680000
2022-06-02,0.780000,0.820000,0.760000,0.800000,0.800000,584500
2022-06-03,0.800000,0.820000,0.780000,0.810000,0.810000,476800
2022-06-06,0.800000,0.840000,0.790000,0.820000,0.820000,1066100
2022-06-07,0.800000,0.880000,0.790000,0.870000,0.870000,874500
2022-06-08,0.860000,0.870000,0.830000,0.850000,0.850000,547500
2022-06-09,0.840000,0.900000,0.820000,0.840000,0.840000,811800
2022-06-10,0.820000,0.820000,0.760000,0.770000,0.770000,815200
2022-06-13,0.760000,0.760000,0.670000,0.700000,0.700000,1317800
2022-06-14,0.700000,0.710000,0.660000,0.670000,0.670000,681900
2022-06-15,0.670000,0.680000,0.630000,0.640000,0.640000,1148800
2022-06-16,0.630000,0.640000,0.580000,0.580000,0.580000,1258300
2022-06-17,0.600000,0.610000,0.580000,0.580000,0.580000,2923700
2022-06-21,0.990000,0.990000,0.730000,0.770000,0.770000,41925100
2022-06-22,0.690000,0.750000,0.660000,0.710000,0.710000,4421300
2022-06-23,0.700000,0.740000,0.690000,0.720000,0.720000,2094600
2022-06-24,0.750000,0.750000,0.690000,0.700000,0.700000,8970600
2022-06-27,0.710000,0.750000,0.680000,0.690000,0.690000,1642600
2022-06-28,0.710000,0.710000,0.620000,0.630000,0.630000,1793700
2022-06-29,0.650000,0.660000,0.600000,0.630000,0.630000,1191800
2022-06-30,0.620000,0.660000,0.610000,0.650000,0.650000,3964000
2022-07-01,0.660000,0.670000,0.620000,0.660000,0.660000,774400
2022-07-05,0.650000,0.680000,0.610000,0.670000,0.670000,1427500
2022-07-06,0.670000,0.680000,0.650000,0.660000,0.660000,554200
2022-07-07,0.670000,0.710000,0.660000,0.700000,0.700000,993300
2022-07-08,0.690000,0.700000,0.680000,0.700000,0.700000,846700
2022-07-11,0.680000,0.680000,0.660000,0.670000,0.670000,556600
2022-07-12,0.680000,0.700000,0.660000,0.700000,0.700000,803600
2022-07-13,0.680000,0.690000,0.660000,0.680000,0.680000,553600
2022-07-14,0.670000,0.680000,0.640000,0.650000,0.650000,762500
2022-07-15,0.660000,0.660000,0.630000,0.650000,0.650000,981900
2022-07-18,0.660000,0.660000,0.640000,0.640000,0.640000,730500
2022-07-19,0.650000,0.680000,0.650000,0.660000,0.660000,664800
2022-07-20,0.670000,0.690000,0.670000,0.680000,0.680000,682000
2022-07-21,0.690000,0.700000,0.680000,0.690000,0.690000,512800
2022-07-22,0.690000,0.690000,0.660000,0.670000,0.670000,419300
2022-07-25,0.670000,0.670000,0.650000,0.650000,0.650000,442400
2022-07-26,0.650000,0.650000,0.610000,0.610000,0.610000,508800
2022-07-27,0.630000,0.630000,0.600000,0.630000,0.630000,847200
2022-07-28,0.620000,0.640000,0.620000,0.620000,0.620000,637500
2022-07-29,0.630000,0.640000,0.620000,0.630000,0.630000,453600
2022-08-01,0.630000,0.640000,0.620000,0.630000,0.630000,419100
2022-08-02,0.630000,0.640000,0.630000,0.640000,0.640000,657100
2022-08-03,0.660000,0.690000,0.650000,0.670000,0.670000,956000
2022-08-04,0.660000,0.680000,0.660000,0.670000,0.670000,670700
2022-08-05,0.670000,0.680000,0.660000,0.670000,0.670000,726900
2022-08-08,0.690000,0.730000,0.690000,0.720000,0.720000,1415300
2022-08-09,0.710000,0.710000,0.660000,0.670000,0.670000,859100
2022-08-10,0.700000,0.700000,0.680000,0.700000,0.700000,799400
2022-08-11,0.710000,0.740000,0.710000,0.720000,0.720000,1168300
2022-08-12,0.740000,0.750000,0.710000,0.740000,0.740000,998000
2022-08-15,0.750000,0.790000,0.740000,0.790000,0.790000,1930100
2022-08-16,0.790000,0.790000,0.680000,0.690000,0.690000,3312000
2022-08-17,0.680000,0.680000,0.640000,0.640000,0.640000,1425800
2022-08-18,0.650000,0.650000,0.640000,0.640000,0.640000,515400
2022-08-19,0.640000,0.640000,0.610000,0.620000,0.620000,1076800
2022-08-22,0.610000,0.620000,0.600000,0.610000,0.610000,806100
2022-08-23,0.610000,0.620000,0.610000,0.620000,0.620000,811600
2022-08-24,0.620000,0.630000,0.610000,0.630000,0.630000,357400
2022-08-25,0.640000,0.650000,0.620000,0.630000,0.630000,583400
2022-08-26,0.630000,0.630000,0.600000,0.610000,0.610000,475300
2022-08-29,0.600000,0.610000,0.590000,0.600000,0.600000,545600
2022-08-30,0.610000,0.610000,0.540000,0.570000,0.570000,896800
2022-08-31,0.580000,0.590000,0.570000,0.570000,0.570000,326100
2022-09-01,0.570000,0.570000,0.540000,0.550000,0.550000,689400
2022-09-02,0.570000,0.570000,0.550000,0.560000,0.560000,291700
2022-09-06,0.560000,0.570000,0.540000,0.540000,0.540000,522800
2022-09-07,0.540000,0.740000,0.540000,0.610000,0.610000,8671200
2022-09-08,0.600000,0.670000,0.560000,0.650000,0.650000,2971500
2022-09-09,0.650000,0.650000,0.610000,0.630000,0.630000,1611800
2022-09-12,0.630000,0.650000,0.620000,0.620000,0.620000,717000
2022-09-13,0.620000,0.620000,0.570000,0.590000,0.590000,801900
2022-09-14,0.590000,0.590000,0.560000,0.560000,0.560000,429900
2022-09-15,0.570000,0.590000,0.560000,0.560000,0.560000,526000
2022-09-16,0.560000,0.580000,0.550000,0.570000,0.570000,445100
2022-09-19,0.560000,0.560000,0.530000,0.530000,0.530000,640100
2022-09-20,0.540000,0.540000,0.500000,0.510000,0.510000,666800
2022-09-21,0.530000,0.530000,0.500000,0.530000,0.530000,410300
2022-09-22,0.530000,0.550000,0.510000,0.540000,0.540000,478900
2022-09-23,0.520000,0.520000,0.490000,0.500000,0.500000,645300
2022-09-26,0.500000,0.510000,0.460000,0.470000,0.470000,692100
2022-09-27,0.480000,0.480000,0.460000,0.460000,0.460000,260300
2022-09-28,0.470000,0.510000,0.470000,0.510000,0.510000,414200
2022-09-29,0.490000,0.490000,0.460000,0.490000,0.490000,356900
2022-09-30,0.480000,0.490000,0.460000,0.460000,0.460000,239300
2022-10-03,0.490000,0.490000,0.460000,0.470000,0.470000,245500
2022-10-04,0.480000,0.510000,0.480000,0.500000,0.500000,403700
2022-10-05,0.500000,0.500000,0.480000,0.490000,0.490000,305500
2022-10-06,0.490000,0.510000,0.490000,0.510000,0.510000,281700
2022-10-07,0.500000,0.510000,0.470000,0.470000,0.470000,358100
2022-10-10,0.480000,0.480000,0.440000,0.440000,0.440000,308100
2022-10-11,0.460000,0.460000,0.430000,0.430000,0.430000,373700
2022-10-12,0.430000,0.450000,0.420000,0.430000,0.430000,251200
2022-10-13,0.430000,0.450000,0.420000,0.430000,0.430000,676700
2022-10-14,0.440000,0.440000,0.420000,0.430000,0.430000,259100
2022-10-17,0.450000,0.450000,0.430000,0.440000,0.440000,300500
2022-10-18,0.450000,0.460000,0.440000,0.460000,0.460000,473900
2022-10-19,0.460000,0.470000,0.450000,0.470000,0.470000,280600
2022-10-20,0.480000,0.480000,0.450000,0.460000,0.460000,314700
2022-10-21,0.460000,0.460000,0.440000,0.440000,0.440000,253700
2022-10-24,0.450000,0.460000,0.440000,0.460000,0.460000,344100
2022-10-25,0.460000,0.500000,0.460000,0.480000,0.480000,722300
2022-10-26,0.480000,0.490000,0.480000,0.480000,0.480000,337300
2022-10-27,0.480000,0.650000,0.480000,0.540000,0.540000,10828700
2022-10-28,0.530000,0.570000,0.520000,0.540000,0.540000,1064200
2022-10-31,0.540000,0.550000,0.520000,0.530000,0.530000,537000
2022-11-01,0.550000,0.550000,0.530000,0.550000,0.550000,432100
2022-11-02,0.570000,0.580000,0.510000,0.530000,0.530000,817000
2022-11-03,0.520000,0.530000,0.500000,0.520000,0.520000,435300
2022-11-04,0.520000,0.530000,0.500000,0.510000,0.510000,466300
2022-11-07,0.510000,0.530000,0.510000,0.520000,0.520000,507700
2022-11-08,0.530000,0.530000,0.510000,0.510000,0.510000,355600
2022-11-09,0.510000,0.510000,0.470000,0.480000,0.480000,381700
2022-11-10,0.500000,0.540000,0.490000,0.520000,0.520000,707200
2022-11-11,0.540000,0.550000,0.510000,0.540000,0.540000,662000
2022-11-14,0.580000,0.590000,0.550000,0.570000,0.570000,698000
2022-11-15,0.590000,0.590000,0.550000,0.580000,0.580000,930400
2022-11-16,0.580000,0.580000,0.530000,0.530000,0.530000,906800
2022-11-17,0.530000,0.540000,0.490000,0.520000,0.520000,368300
2022-11-18,0.540000,0.540000,0.500000,0.520000,0.520000,802400
2022-11-21,0.530000,0.530000,0.490000,0.510000,0.510000,329600
2022-11-22,0.510000,0.510000,0.490000,0.500000,0.500000,257000
2022-11-23,0.380000,0.480000,0.380000,0.470000,0.470000,1637000
2022-11-25,0.460000,0.470000,0.460000,0.470000,0.470000,212500
2022-11-28,0.460000,0.460000,0.430000,0.430000,0.430000,566300
2022-11-29,0.430000,0.440000,0.410000,0.420000,0.420000,328400
2022-11-30,0.420000,0.430000,0.410000,0.430000,0.430000,444500
2022-12-01,0.430000,0.440000,0.420000,0.420000,0.420000,299100
2022-12-02,0.420000,0.440000,0.420000,0.430000,0.430000,204500
2022-12-05,0.440000,0.440000,0.410000,0.410000,0.410000,367000
2022-12-06,0.420000,0.420000,0.400000,0.420000,0.420000,399100
2022-12-07,0.420000,0.420000,0.400000,0.400000,0.400000,256900
2022-12-08,0.400000,0.410000,0.400000,0.410000,0.410000,338100
2022-12-09,0.410000,0.410000,0.400000,0.410000,0.410000,291300
2022-12-12,0.410000,0.420000,0.400000,0.400000,0.400000,369600
2022-12-13,0.410000,0.420000,0.410000,0.420000,0.420000,512600
2022-12-14,0.410000,0.440000,0.410000,0.410000,0.410000,497400
2022-12-15,0.420000,0.420000,0.410000,0.410000,0.410000,291000
2022-12-16,0.410000,0.420000,0.390000,0.390000,0.390000,547100
2022-12-19,0.400000,0.400000,0.360000,0.360000,0.360000,591200
2022-12-20,0.360000,0.370000,0.360000,0.360000,0.360000,430100
2022-12-21,0.370000,0.380000,0.350000,0.350000,0.350000,625200
2022-12-22,0.350000,0.350000,0.310000,0.320000,0.320000,715500
2022-12-23,0.330000,0.350000,0.320000,0.350000,0.350000,647100
